編號,說明,zh_TW,備註
,01攤位,,
01_Msg01,01攤位對話01,「你好啊~ 這裡是《兔子茶會 RabbitTeaParty》的官方攤位喔！」,
01_Msg02,01攤位對話02,「那麼關於本次活動你想問什麼呢？」,
01_A_Name,選項A文字,再次辦活動的原因,"一共有5個對話選項，可以依照創作的性質自訂，
但每個對話選項之中必須包含返回的選項。"
01_A_Content01,選項A內容01,「關於這點..原先只是想找人接手我這個線上活動的..」,
01_A_Content02,選項A內容02,「不知不覺就變成再次舉辦線上活動。」,
01_A_Content03,選項A內容03,「這次活動我會使用 RPG Maker MZ 作為線上擺攤的會場。」,
01_A_Content04,選項A內容04,「如果有興趣的話可以前往關注下我們活動的相關資訊喔~」,
01_A_URL,選項A連結,https://rabbitteaparty.blogspot.com/2021/12/RabbitTeaParty01.html,此為超連結
01_B_Name,選項B文字,未來還會再舉辦嗎？,
01_B_Content01,選項B內容01,「先不要..光是將近六個月的籌備就夠我們忙了。」,
01_B_Content02,選項B內容02,「不過..我們會考慮看看再次舉辦的可能性。」,
01_C_Name,選項C文字,這裡是哪裡？,
01_C_Content01,選項C內容01,「你說這裡是哪裡？」 ,頭上要顯示「問號」氣泡
01_C_Content02,選項C內容02,「其實這個會場是向Vtuber社團『MIX米克斯學園』借來的學校場地。」 ,
01_C_Content03,選項C內容03,「如果有興趣的話，可以前往關注下她們的Twitter(X)喔~」,
01_C_URL,選項C連結,https://x.com/MixMimimix,此為超連結
01_D_Name,選項D文字,追隨Twitter(X),
01_D_Content01,選項D內容01,「可以喔！如果有新的消息我們也都會發文在這邊的。」 ,
01_D_URL,選項D連結,https://x.com/RabbitTeaPartyA,此為超連結
01_E_Name,選項E文字,等一下再過來,
01_E_Content01,選項E內容01,「好的，等等見。」 ,
